Batch,Average Reward
1666,-4.304748058319092
1669,-5.370031356811523
1672,-5.065281391143799
1675,-5.372158527374268
1678,-4.051741123199463
1681,-3.962064027786255
1684,-4.177525997161865
1687,-4.480830669403076
1690,-5.439465045928955
1693,-4.774145603179932
1696,-3.9263129234313965
1699,-4.201335906982422
1702,-5.090576171875
1705,-6.074419021606445
1708,-4.0677266120910645
1711,-4.307712554931641
1714,-3.949277639389038
1717,-3.493858814239502
1720,-4.740017890930176
1723,-3.922154426574707
1726,-5.168426036834717
1729,-4.338763236999512
1732,-4.699211120605469
1735,-3.3592917919158936
1738,-3.9233055114746094
1741,-4.348232746124268
1744,-4.651944637298584
1747,-3.884598970413208
1750,-4.357650279998779
1753,-4.593410491943359
1756,-4.499460697174072
1759,-4.512414932250977
1762,-4.625067710876465
1765,-4.477876663208008
1768,-5.144854545593262
1771,-4.761861801147461
1774,-4.542131423950195
1777,-4.406777381896973
1780,-4.496219158172607
1783,-4.048281192779541
1786,-4.7986860275268555
1789,-3.8274011611938477
1792,-4.519575595855713
1795,-4.560764789581299
1798,-5.181550025939941
1801,-4.900205135345459
1804,-4.685992240905762
1807,-4.812930107116699
1810,-3.9335124492645264
1813,-4.114326000213623
1816,-5.000775337219238
1819,-4.604477405548096
1822,-3.7618865966796875
1825,-3.981135129928589
1828,-4.660139083862305
1831,-3.566446304321289
1834,-4.302168846130371
1837,-4.799056529998779
1840,-5.288910865783691
1843,-5.015863418579102
1846,-4.99365758895874
1849,-4.159846305847168
1852,-3.7105906009674072
1855,-4.309834957122803
1858,-3.803331136703491
1861,-4.306238651275635
1864,-3.7237067222595215
1867,-3.952183723449707
1870,-4.3284807205200195
1873,-4.552657127380371
1876,-4.428548336029053
1879,-4.867753982543945
1882,-4.560026168823242
1885,-3.6438398361206055
1888,-3.825540781021118
1891,-4.703643321990967
1894,-3.7852580547332764
1897,-4.9429779052734375
1900,-4.10788631439209
1903,-3.9745187759399414
1906,-4.005920886993408
1909,-5.138215065002441
1912,-4.180949687957764
1915,-4.565436363220215
1918,-4.365910530090332
1921,-4.435944080352783
1924,-4.116034030914307
1927,-4.672390937805176
1930,-3.7060887813568115
1933,-4.8273701667785645
