 [  0.66075712 395.05327295]
 [  0.64868976 395.04045383]
 [  0.66367481 395.04884714]
 [  0.65155428 395.04019112]
 [  0.66166535 395.04986137]
 [  0.64964121 395.04695791]
 [  0.65461698 395.05885776]
 [  0.64283247 395.06239228]
 [  0.64195477 395.07540837]
 [  0.63054883 395.08351525]
 [  0.6265223  395.09877679]
 [  0.61556252 395.11156754]
 [  0.60602282 395.12425991]
 [  0.59704033 395.1376911 ]
 [  0.58902417 395.15302359]
 [  0.57905288 395.1666402 ]
 [  0.57060562 395.17978859]
 [  0.56261353 395.19184499]
 [  0.55575997 395.20295048]
 [  0.54932617 395.21192676]
 [  0.54486885 395.21976638]
 [  0.54062764 395.22466723]
 [  0.53907752 395.22848436]
 [  0.53738196 395.22875973]
 [  0.5389713  395.22824064]
 [  0.53989363 395.22378599]
 [  0.5445731  395.21906129]
 [  0.54790838 395.21021239]
 [  0.55535713 395.20183713]
 [  0.5606449  395.1893352 ]
 [  0.57030111 395.17823599]
 [  0.57686776 395.16315866]
 [  0.58797989 395.15054798]
 [  0.59499994 395.13420915]
 [  0.60669587 395.12147224]
 [  0.61326831 395.10529772]
 [  0.62463769 395.09386072]
 [  0.6298715  395.07924994]
 [  0.64005458 395.07044067]
 [  0.64315598 395.0586272 ]
 [  0.65143064 395.05354227]
 [  0.65178339 395.04546756]
 [  0.65764102 395.04486006]
 [  0.65487073 395.04107463]
 [  0.65807191 395.04527559]
 [  0.65208615 395.04587976]
 [  0.6526886  395.05476322]
 [  0.64368725 395.05939501]
 [  0.6420419  395.07239136]
 [  0.63063529 395.08047782]
 [  0.62700339 395.09632575]
 [  0.61603572 395.10972352]
 [  0.6064394  395.12296748]
 [  0.59793589 395.13771556]
 [  0.58825604 395.15186794]
 [  0.57948382 395.16609284]
 [  0.57078166 395.17948784]
 [  0.56269848 395.19166173]
 [  0.55586843 395.20292627]
 [  0.54926    395.21179965]
 [  0.54501613 395.21986063]
 [  0.54046197 395.22451041]
 [  0.53929505 395.22865587]
 [  0.53712857 395.22854838]
